division,total_services,total_billed_services,total_units,avg_load,services_per_unit,group,top_categories
MEDCHAL,320797,306960.0,40323953,1139.5885635359116,0.01,MEDCHAL,"DOMESTIC (306,960)"
SAINIKPURI,297109,286420.0,41967813,1037.5356310679613,0.01,SAINIKPURI,"DOMESTIC (286,420)"
KEESARA,294117,272544.0,32068026,584.2284548825711,0.01,KEESARA,"DOMESTIC (272,544)"
KUKATPALLY,290058,285126.0,50383490,4187.211603773585,0.01,KUKATPALLY,"DOMESTIC (285,126)"
SAROORNAGAR,282552,276165.0,39672677,1491.5880100755667,0.01,SAROORNAGAR,"DOMESTIC (276,165)"
RAJENDRA NAGAR,263241,250508.0,34087945,2168.561542056075,0.01,RAJENDRA NAGAR,"DOMESTIC (250,508)"
CHARMINAR,254478,243848.0,29890319,666.906398390342,0.01,CHARMINAR,"DOMESTIC (243,848)"
CHAMPAPET,244876,240537.0,32831773,1014.8813378684807,0.01,CHAMPAPET,"DOMESTIC (240,537)"
NALGONDA,241439,209814.0,18441394,398.0873815461347,0.01,NALGONDA,"DOMESTIC (209,814)"
PATANCHERU,239449,233172.0,30066531,2142.0288841201714,0.01,PATANCHERU,"DOMESTIC (233,172)"
HABSIGUDA,238091,233434.0,31738772,1087.0253785900784,0.01,HABSIGUDA,"DOMESTIC (233,434)"
MEHDIPATNAM,233713,225203.0,42864398,1646.8106785714285,0.01,MEHDIPATNAM,"DOMESTIC (225,203)"
NAGARKURNOOL,209638,170695.0,11390397,172.76148014440435,0.02,NAGARKURNOOL,"DOMESTIC (170,695)"
GACHIBOWLI,202492,197257.0,37197804,3580.437803468208,0.01,GACHIBOWLI,"DOMESTIC (197,257)"
SANGAREDDY,201356,190070.0,19091806,1081.6945689655172,0.01,SANGAREDDY,"DOMESTIC (190,070)"
ASMANGADH,201281,196053.0,28873328,1414.8386324786325,0.01,ASMANGADH,"DOMESTIC (196,053)"
IBRAHIMBAGH,196485,183711.0,28445993,1839.9694921875,0.01,IBRAHIMBAGH,"DOMESTIC (183,711)"
SECUNDERABAD,187156,178991.0,28760330,1122.5856103896103,0.01,SECUNDERABAD,"DOMESTIC (178,991)"
KONDAPUR,186472,181931.0,32776865,4632.229401709402,0.01,KONDAPUR,"DOMESTIC (181,931)"
HUZURNAGAR,183850,156817.0,14104083,314.45087818696885,0.01,HUZURNAGAR,"DOMESTIC (156,817)"
AZAMABAD,180801,177145.0,25961360,1227.579219330855,0.01,AZAMABAD,"DOMESTIC (177,145)"
BHONGIR,178059,151593.0,11743380,322.74516616314196,0.02,BHONGIR,"DOMESTIC (151,593)"
GREEN LANDS,177078,171070.0,27815526,1334.3118181818181,0.01,GREEN LANDS,"DOMESTIC (171,070)"
JEEDIMETLA,175814,172106.0,23212136,1804.0561304347825,0.01,JEEDIMETLA,"DOMESTIC (172,106)"
MAHABOOBNAGAR,171046,152454.0,13127931,327.8789033942559,0.01,MAHABOOBNAGAR,"DOMESTIC (152,454)"
KANDUKUR,165067,145143.0,13307828,419.157217630854,0.01,KANDUKUR,"DOMESTIC (145,143)"
MIRYALGUDA,163594,137751.0,12324375,273.01018518518515,0.01,MIRYALGUDA,"DOMESTIC (137,751)"
BANJARA HILLS,156912,149411.0,33197361,2453.641025641026,0.0,BANJARA HILLS,"DOMESTIC (149,411)"
GADWAL,156172,126202.0,9008952,227.30854166666666,0.02,GADWAL,"DOMESTIC (126,202)"
WANAPARTHY,155686,128931.0,9030764,248.1895806451613,0.02,WANAPARTHY,"DOMESTIC (128,931)"
IBRAHIMPATNAM,149230,137704.0,14385018,645.2532746478873,0.01,IBRAHIMPATNAM,"DOMESTIC (137,704)"
SURYAPET,148564,128077.0,11446908,357.89575757575756,0.01,SURYAPET,"DOMESTIC (128,077)"
VIKARABAD,147919,125912.0,8906364,199.14977961432507,0.02,VIKARABAD,"DOMESTIC (125,912)"
SIDDIPET,143930,131489.0,12009240,564.398056872038,0.01,SIDDIPET,"DOMESTIC (131,489)"
PARADISE,139926,133577.0,20074371,948.0420284697509,0.01,PARADISE,"DOMESTIC (133,577)"
BEGUM BAZAR,130757,123140.0,18330465,525.9910962566845,0.01,BEGUM BAZAR,"DOMESTIC (123,140)"
MEDAK,124044,108536.0,7888850,217.53629737609327,0.02,MEDAK,"DOMESTIC (108,536)"
BOWENPALLY,121978,119414.0,17730950,1116.6464734299518,0.01,BOWENPALLY,"DOMESTIC (119,414)"
GAJWEL,118845,103283.0,8479624,267.4981496062992,0.01,GAJWEL,"DOMESTIC (103,283)"
SAIFABAD,118450,111669.0,20501843,1101.2405952380952,0.01,SAIFABAD,"DOMESTIC (111,669)"
JADCHERLA,108431,94276.0,7173125,191.559943019943,0.02,JADCHERLA,"DOMESTIC (94,276)"
TANDUR,103269,86173.0,6279772,181.04827160493826,0.02,TANDUR,"DOMESTIC (86,173)"
CHOUTUPPAL,101622,89599.0,6760534,244.30392241379312,0.02,CHOUTUPPAL,"DOMESTIC (89,599)"
SHADNAGAR,101484,92317.0,8071501,446.24273224043714,0.01,SHADNAGAR,"DOMESTIC (92,317)"
ZAHEERABAD,101241,93445.0,7480117,314.14876237623764,0.01,ZAHEERABAD,"DOMESTIC (93,445)"
JOGIPET,98705,85666.0,6090568,150.40867283950615,0.02,JOGIPET,"DOMESTIC (85,666)"
DEVARAKONDA,94986,79419.0,4838141,131.81211838006232,0.02,DEVARAKONDA,"DOMESTIC (79,419)"
HUSNABAD,94373,76015.0,5816430,249.28829383886256,0.02,HUSNABAD,"DOMESTIC (76,015)"
TOOPRAN,87978,76733.0,6208269,251.77963302752292,0.01,TOOPRAN,"DOMESTIC (76,733)"
