districtName,total_pw_registered,total_kits_distributed,total_deliveries,total_gov_deliveries,total_pvt_deliveries,total_anc1,total_anc4,total_high_risk,total_immunizations,kit_coverage_ratio,gov_facility_utilization,anc4_to_anc1_ratio,high_risk_ratio
Adilabad,601,430,1628,554,237,971,1131,507,6902,0.72,0.34,1.16,0.84
Bhadradri Kothagudem,851,530,2483,715,221,1436,2148,650,8075,0.62,0.29,1.5,0.76
Hanumakonda,843,333,1750,389,132,1196,1123,816,5799,0.4,0.22,0.94,0.97
Hyderabad,4782,1341,9415,1871,384,6389,6551,3684,31919,0.28,0.2,1.03,0.77
Jagithyal,953,396,2110,454,120,1445,1254,876,7400,0.42,0.22,0.87,0.92
Jangaon,408,365,1022,415,128,661,670,364,3919,0.89,0.41,1.01,0.89
Jayashankar,313,228,793,265,50,513,456,324,2525,0.73,0.33,0.89,1.04
Jogulamba Gadwal,530,367,1723,490,138,1069,1171,568,5762,0.69,0.28,1.1,1.07
Kamareddy,886,596,2246,768,217,1434,1456,837,7882,0.67,0.34,1.02,0.94
Karimnagar,970,422,1919,474,113,1355,1483,821,6577,0.44,0.25,1.09,0.85
Khammam,969,505,2459,576,400,1514,2116,870,9068,0.52,0.23,1.4,0.9
Kumuram Bheem,450,343,1284,438,121,730,789,271,8543,0.76,0.34,1.08,0.6
Mahabubabad,519,411,1694,458,175,1047,917,671,5695,0.79,0.27,0.88,1.29
Mahabubnagar,803,351,2219,625,200,1332,1325,718,8367,0.44,0.28,0.99,0.89
Mancherial,719,364,1693,413,193,1114,901,637,5955,0.51,0.24,0.81,0.89
Medak,675,615,1958,731,88,1205,1041,679,7058,0.91,0.37,0.86,1.01
Medchal-Malkajgiri,4520,542,7253,723,923,5373,5440,1689,23304,0.12,0.1,1.01,0.37
Mulugu,236,171,691,217,31,400,402,294,1650,0.72,0.31,1.0,1.25
Nagarkurnool,615,310,2113,710,125,1226,1211,748,6486,0.5,0.34,0.99,1.22
Nalgonda,1223,777,3680,940,405,2184,1912,1398,11123,0.64,0.26,0.88,1.14
Nan,181,3,613,560,22,244,388,502,1207,0.02,0.91,1.59,2.77
Narayanpet,617,242,1639,399,69,1057,897,555,5339,0.39,0.24,0.85,0.9
Nirmal,643,336,1760,407,248,1112,1070,656,5928,0.52,0.23,0.96,1.02
Nizamabad,1450,640,3465,814,512,2106,2291,1503,13212,0.44,0.23,1.09,1.04
Peddapalli,618,374,1320,401,105,837,801,537,5621,0.61,0.3,0.96,0.87
Rajanna Sircilla,550,251,1158,285,46,778,1110,595,3291,0.46,0.25,1.43,1.08
Ranga Reddy,3118,1029,6656,1404,764,4431,4309,2103,20703,0.33,0.21,0.97,0.67
Sangareddy,1542,797,3808,1109,249,2530,2370,1216,12104,0.52,0.29,0.94,0.79
Siddipet,700,534,1876,639,296,1121,1076,773,8109,0.76,0.34,0.96,1.1
Suryapet,810,455,2122,504,213,1336,1227,679,7900,0.56,0.24,0.92,0.84
Vikarabad,752,324,1978,731,114,1197,1579,677,8020,0.43,0.37,1.32,0.9
Wanaparthy,448,115,1472,388,136,871,773,475,4656,0.26,0.26,0.89,1.06
Warangal,701,447,1777,480,154,1095,1105,699,5196,0.64,0.27,1.01,1.0
Yadadri Bhuvanagiri,652,350,1718,428,296,1073,981,606,5867,0.54,0.25,0.91,0.93
