district,total_visitors,avg_monthly_visitors,max_monthly_visitors,observation_count,districtName,peak_month,peak_month_visitors
"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",21739960,1811663.33,3487707.0,12,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",,3487707
Rajanna Sircilla,16288424,1357368.67,1786478.0,12,Rajanna Sircilla,,1786478
Mulugu,14610348,1217529.0,12046024.0,12,Mulugu,,12046024
Yadadri Bhongir,10627629,885635.75,1817107.0,12,Yadadri Bhongir,,1817107
Jagtial,4694656,391221.33,553760.0,12,Jagtial,,553760
Nirmal,4508820,375735.0,409354.0,12,Nirmal,,409354
Sangareddy,2970821,247568.42,1032366.0,12,Sangareddy,,1032366
Siddipet,2843407,236950.58,1275207.0,12,Siddipet,,1275207
Medak,1602012,133501.0,904902.0,12,Medak,,904902
Nalgonda & Suryapet,1555935,129661.25,594366.0,12,Nalgonda & Suryapet,,594366
Bhadradri Kothagudem,1389178,115764.83,172982.0,12,Bhadradri Kothagudem,,172982
Nizamabad,1196136,99678.0,169469.0,12,Nizamabad,,169469
Mahabubnagar,766090,63840.83,141800.0,12,Mahabubnagar,,141800
Khammam,698950,58245.83,87546.0,12,Khammam,,87546
Jogulamba Gadwal,635770,52980.83,68032.0,12,Jogulamba Gadwal,,68032
Nagarkurnool,506680,42223.33,57000.0,12,Nagarkurnool,,57000
Hanumakonda,447148,37262.33,42083.0,12,Hanumakonda,,42083
Adilabad,378840,31570.0,104878.0,12,Adilabad,,104878
Warangal,210352,17529.33,19014.0,12,Warangal,,19014
Jayashankar Bhoopalpally,181030,15085.83,16545.0,12,Jayashankar Bhoopalpally,,16545
Mancherial,108943,9078.58,15430.0,12,Mancherial,,15430
Karimnagar,73051,6087.58,7242.0,12,Karimnagar,,7242
Jangaon,63615,5301.25,5840.0,12,Jangaon,,5840
Mahabubabad,46820,3901.67,6330.0,12,Mahabubabad,,6330
Narayanapet,30000,2500.0,11500.0,12,Narayanapet,,11500
Komaram Bheem Asifabad,28116,2343.0,10569.0,12,Komaram Bheem Asifabad,,10569
Peddapalli,19326,1610.5,2022.0,12,Peddapalli,,2022
Wanaparthy,16940,1411.67,2300.0,12,Wanaparthy,,2300
Kamareddy,678,56.5,99.0,12,Kamareddy,,99
Medchal -Malkajigiri,0,0.0,0.0,12,Medchal -Malkajigiri,,0
